Organisation,Country,Status,Official name (+source),Also known as,Website,Instagram,Est. company size,Primary customers,Year founded,Ownership status,Core model,Geographic scope,Categories,Key partners / customers,Impact metrics,Conf: name,Conf: year,Conf: impact,Verification notes
Splosh,United Kingdom,Active,Splosh (Splosh Limited) — splosh.com; pitchbook.com,Splosh — splosh.com,https://splosh.com/,Not found in verified public sources,Small (PitchBook lists ~4 employees — likely understated; treat with caution) — pitchbook.com,Consumers via DTC mail-order/subscription (UK); also a retail arm (sploshretail.co.uk) — nspackaging.com; splosh.com,2012 — pitchbook.com; nspackaging.com; plasticstoday.com,Private company — pitchbook.com,Refillable home & personal care: keep-forever bottles refilled from concentrated pouches (add water); used pouches returned to be reused/upcycled (closed loop) — splosh.com; nspackaging.com,"United Kingdom (Newtown, Powys, Wales) — pitchbook.com; plasticstoday.com","Household cleaning, laundry, dish, personal care (refill pouches) — splosh.com","Founder Angus Grahame; cruelty-free (Leaping Bunny), vegan-friendly — nspackaging.com; greenunion.co.uk","Company states its system cuts plastic waste by ~90% vs disposable bottles, ~75% lower CO2 (concentrates), and that its standard refill system had saved 725,000+ rigid bottles; stated goal of saving 1 billion bottles — nspackaging.com; plasticstoday.com. Self-reported.",High,High,Low,Founding 2012 consistent across sources. PitchBook headcount (4) likely stale/undercount — verify. Founder Angus Grahame (one early third-party source erroneously named another person). Instagram unverified.
Ecover,Belgium,Active — owned by SC Johnson,Ecover — ecover.com; en.wikipedia.org/wiki/Ecover,Ecover; part of 'People Against Dirty' (with Method) pre-acquisition — naturewatch.org,https://www.ecover.com/,Not found in verified public sources,Not found in verified public sources as a standalone figure (subsidiary of SC Johnson; manufacturing in Belgium/France/Switzerland) — nelisglobal.org,Consumers via grocery/mass retail and e-commerce; bulk refill via independent stores/co-ops — en.wikipedia.org/wiki/Ecover,1979 (Belgium; founder Frans Bogaerts / Van Den Boogaert) — en.wikipedia.org/wiki/Ecover; nelisglobal.org,"Owned by S.C. Johnson & Son since 2017 (acquired with Method from People Against Dirty; announced Sept 2017, closed Dec 2017) — prnewswire.com; ethicalconsumer.org",Manufacturer of plant-/mineral-based cleaning & laundry products; offers in-store bulk refill in some markets — en.wikipedia.org/wiki/Ecover,"Belgium (HQ/factory, Malle) selling across Europe and North America — nelisglobal.org","Household cleaning, laundry, dishwashing, hand soap — ecover.com",Parent: SC Johnson; sister brand Method — prnewswire.com,"Built the first 'ecological factory' (Malle, 1992); recognised on the UN Global 500 Roll of Honour (1992/93) — en.wikipedia.org/wiki/Ecover; nelisglobal.org. No current quantified reuse metric found.",High,High,Medium,"Ownership is the key fact: corporate-owned (SC Johnson) since 2017 — not an independent reuse 'practitioner'. Reportedly dropped B Corp certification (per Ethical Consumer, Oct 2025) — verify on B Lab. Founder's surname appears as Bogaerts / Van Den Boogaert. Instagram unverified."
Grove Collaborative,United States,Active — public (NYSE: GROV),"Grove Collaborative Holdings, Inc. (NYSE: GROV) — sec.gov; grove.co",Grove Collaborative; Grove Co.; founded as 'ePantry' — en.wikipedia.org/wiki/Grove_Collaborative,https://www.grove.co/,Not found in verified public sources,Public company; FY2025 revenue guidance ~$172.5M–$175M; underwent workforce reductions — dcf-model.com. Exact current headcount not found in verified public sources.,Consumers via DTC subscription/e-commerce and retail (e.g. Target) — en.wikipedia.org/wiki/Grove_Collaborative,2012 (as ePantry; rebranded Grove 2016) — en.wikipedia.org/wiki/Grove_Collaborative; sec.gov,"Publicly traded on NYSE under 'GROV' since June 2022 (via Virgin Group SPAC merger, Dec 2021); Public Benefit Corporation and Certified B Corp — en.wikipedia.org/wiki/Grove_Collaborative; inc.com",Sustainable home & personal care retailer; own brand (Grove Co.) plus curated third-party brands; flexible monthly delivery; 'plastic-neutral' — sec.gov; en.wikipedia.org/wiki/Grove_Collaborative,United States — en.wikipedia.org/wiki/Grove_Collaborative,"Household cleaning, personal care, laundry, beauty, pet — sec.gov","Co-founders Stuart Landesberg, Chris Clark, Jordan Savage; retail partner Target; investors incl. Virgin Group/General Atlantic — en.wikipedia.org/wiki/Grove_Collaborative; pestel-analysis.com",States it became 'the world's first plastic-neutral retailer' (2020) and surpassed 1 million households served — pestel-analysis.com. Self-reported; verify specific tonnage figures in SEC filings/impact reports.,High,High,Medium,Public-company status means primary financial data is in SEC filings (recommended source). Founding 2012 (as ePantry) firm. CEO changed (Landesberg stepped back as CEO in 2023). Instagram unverified.
Zero Co,Australia,CEASED ~Apr 2025,Zero Co — zeroco.com.au; squarepeg.vc,Zero Co — businessthink.unsw.edu.au,https://www.zeroco.com.au/,Not found in verified public sources,Small at close; FY24 revenue ~A$10.79M — smartcompany.com.au; startupdaily.net,"Consumers via DTC (Australia), with planned retail and international expansion — squarepeg.vc; cxplained.com",2019 (founded by Mike Smith; Kickstarter Oct 2019) — squarepeg.vc; businessthink.unsw.edu.au,"Private, venture- and crowdfunding-backed (Square Peg ~A$6M Series A; Skip Capital; Birchal equity crowdfunding). PRIORITY FLAG: announced wind-down, ceased trading ~30 April 2025 (closing while solvent) — squarepeg.vc; smartcompany.com.au; startupdaily.net","DTC refill: 'Forever Bottles' (from ocean/beach/landfill plastic) + mailed refill pouches returned, cleaned and reused; later 'ForeverFill' paper-based refills — squarepeg.vc; startupdaily.net",Australia (HQ moved Byron Bay ? Melbourne); had expansion ambitions to UK/North America — startupdaily.net,Home cleaning and personal care (refill) — zeroco.com.au,"Founder Mike Smith; investors Square Peg, Skip Capital; ocean cleanup mission partners — squarepeg.vc; startupdaily.net","Company stated it removed the equivalent of ~45 million bottles of ocean/river/beach waste in its first ~4 years (other reports cite 60,000+ households and ~1.1M bottles' worth in earlier periods) — cxplained.com; reusablenation.com. Self-reported; figures vary by date.",High,High,Low,PRIORITY FLAG: Zero Co ceased trading ~30 April 2025 — confirm current status; website may still resolve. Founding 2019 firm. Impact figures are self-reported and inconsistent across dates. Instagram unverified.
Seventh Generation,United States,Active — owned by Unilever,"Seventh Generation, Inc. — seventhgeneration.com; en.wikipedia.org/wiki/Seventh_Generation_Inc.",Seventh Generation — vtdigger.org,https://www.seventhgeneration.com/,Not found in verified public sources,~145–170 employees historically (Tracxn ~145; ~170 at 2016 acquisition) — tracxn.com; causeartist.com. Current figure as a Unilever unit not found in verified public sources.,"Consumers via natural-food stores, supermarkets, mass merchants and online — en.wikipedia.org/wiki/Seventh_Generation_Inc.","1988 (Burlington, Vermont) — en.wikipedia.org/wiki/Seventh_Generation_Inc.; vtdigger.org",Subsidiary of Unilever since 2016 (acquired for an estimated ~$700M) — en.wikipedia.org/wiki/Seventh_Generation_Inc.; vtdigger.org; pitchbook.com,Manufacturer/marketer of plant-based household and personal care products (recycled/recyclable packaging) — seventhgeneration.com,Primarily United States / North America (distributed via Unilever globally) — causeartist.com,"Household cleaning, laundry, dish, paper, personal care, diapers — en.wikipedia.org/wiki/Seventh_Generation_Inc.","Parent: Unilever; retail incl. Target, Walmart; founders Alan Newman & Jeffrey Hollender — vermontbiz.com; causeartist.com",Founding B Corporation (2008); pioneered full-ingredient labelling; reported >$200M revenue in 2015 pre-acquisition — seventhgeneration.com; vtdigger.org. No standalone reuse metric found.,High,High,Medium,Ownership is the key fact: corporate-owned (Unilever) since 2016 — not an independent reuse practitioner; more a sustainable-CPG brand than a refill/reuse infrastructure player. Founding 1988 firm. Instagram unverified.
Sourceful,United Kingdom,Active,Sourceful (Sourceful Ltd) — sourceful.com; tracxn.com,Sourceful; Sourceful.com — crunchbase.com,https://www.sourceful.com/,Not found in verified public sources,~65 staff as of 2022 (CEO statement); aggregator figures vary — businesscloud.co.uk. Current headcount not found in verified public sources.,B2B — brands needing sustainable packaging sourcing/design and supply-chain carbon data — sourceful.com; indexventures.com,2020 (June 2020) — sourceful.com/blog/sourceful-funding; tracxn.com; uktech.news,"Private, venture-backed; ~$12.2M seed (2021, Index Ventures) + $20M Series A (2022); total ~£23.8M / ~$31.8M — indexventures.com; uktech.news; tracxn.com","Data/AI platform for sourcing, designing and managing sustainable packaging with ISO-verified carbon-footprint estimation; marketplace of vetted suppliers — sourceful.com; indexventures.com","United Kingdom (Manchester/London) serving UK, EU, US; suppliers in UK and Asia — thebusinessdesk.com; indexventures.com",Sustainable packaging sourcing / supply-chain SaaS (B2B) — sourceful.com,"Co-founders Wing Chan (CEO), Shiran Zheng, Mary Wang; investors Index Ventures, Eka Ventures, Coatue; clients incl. Zoe, Trip, Hylo — uktech.news; elitebusinessmagazine.co.uk",Positions itself on supply-chain carbon reduction; cites that ~83% of consumer-industry emissions sit in the supply chain and its ISO-verified LCA methodology quantifies per-order footprint — indexventures.com. No standalone reuse tonnage metric found.,High,High,Low,Note Sourceful is primarily a packaging-sourcing/decarbonisation platform rather than a reuse/refill operator. HQ cited as both Manchester and London. One profile names founder 'Sharon Chan' — likely the same person as Wing (Yung) Chan; reconcile manually. Instagram unverified.
ETEE,Canada,Active,etee (brand operated via ShopEtee) — shopetee.com,Etee ('everything touches everything else') — honestbrandreviews.com,https://www.shopetee.com/,Not found in verified public sources,Not found in verified public sources (small; made/distributed from Toronto),Consumers via DTC e-commerce (and Amazon); ~80% of customers US-based per founder — shopetee.com; shopetee.com/blogs,Sources conflict: 2015 (Honest Brand Reviews) vs 2017 (Green Hive) — honestbrandreviews.com; greenhive.io,Private; founder Steve Reble (one source adds co-founder PJ Lennon) — honestbrandreviews.com; greenhive.io,"Plastic-free personal & home care: beeswax food wraps, soap/shampoo, deodorant, toothpaste etc.; some concentrate/refill formats; plastic-free shipping — shopetee.com",Canada (Toronto) shipping internationally; large US customer base — shopetee.com; shopetee.com/blogs,"Beeswax wraps, plastic-free home & personal care — shopetee.com",Founder-led DTC; 90-day money-back guarantee — shopetee.com,Not found in verified public sources (no quantified plastic-avoidance figure located).,Medium,Low,Low,Founding year ambiguous (2015 vs 2017) — manual reconciliation needed. Registered legal entity name not confirmed from a registry. Note etee is largely a plastic-free/reusable-product brand rather than a refill-infrastructure operator. Instagram unverified.
Plaine Products,United States,Active,Plaine Products — plaineproducts.com; plasticpollutioncoalition.org,Plaine Products (from founders' surname 'Delaplaine') — ideamensch.com,https://plaineproducts.com/,Not found in verified public sources,"~18 employees and ~$2M revenue (founder interview, ~2021) — millionaire-interviews.com. Current figures not found in verified public sources.",Consumers via DTC subscription; plus retailers/refill stations and hospitality (B2B bulk) — plasticpollutioncoalition.org; americanglampingassociation.net,February 2017 — ideamensch.com; plasticpollutioncoalition.org,Private; co-founded by sisters Lindsey Delaplaine McCoy (CEO) and Alison Webster; Certified B Corp and 1% for the Planet member — gobrief.com; americanglampingassociation.net,"Refillable personal care in returnable aluminium bottles: customer returns empties (free), company cleans, refills and reuses; subscription + bulk on-site refill — plasticpollutioncoalition.org","United States (HQ Cincinnati, Ohio) — americanglampingassociation.net","Hair & body personal care (shampoo, conditioner, body wash, lotion) — plaineproducts.com",~150–270+ retailers/refill stations cited; founders Lindsey McCoy & Alison Webster — exxpedition.com; plaineproducts.com,"Company states it has eliminated ~700,000 plastic bottles from the waste stream (earlier figures cited 100,000 in 2019, 300,000 in 2021, 547,000 in 2023) — americanglampingassociation.net; exxpedition.com. Self-reported; grows over time.",High,High,Medium,Founding Feb 2017 firm. Co-founder appears under both 'Alison Webster' and 'Alison Delaplaine'. Bottle-diversion figure is cumulative/self-reported and date-dependent. Instagram unverified.
by Humankind,United States,Active,"by Humankind (by Humankind, Inc.) — byhumankind.com; preqin.com",by Humankind; Humankind — crunchbase.com,https://byhumankind.com/,Not found in verified public sources,Not found in verified public sources (early-stage DTC brand),Consumers via DTC subscription; some retail (e.g. Grove) — gessato.com; preqin.com,2019 (deodorant launched Feb 2019; idea sparked on a 2017 trip) — medium.com/lerer-hippeau-ventures; fastcompany.com,"Private, venture-backed (Lerer Hippeau; ~$4M raised incl. $1.5M venture debt, 2019); co-founders Brian Bushell (CEO) & Joshua Goodman — medium.com/lerer-hippeau-ventures; preqin.com","DTC subscription refill personal care: refillable deodorant (compostable refill sticks), shampoo bars, mouthwash tablets; keep-and-refill containers — fastcompany.com; dezeen.com",United States (HQ New York); aggregator notes some EU/Asia availability — medium.com/lerer-hippeau-ventures; preqin.com,"Personal care (deodorant, oral care, hair, floss) — byhumankind.com",Co-founders Brian Bushell & Joshua Goodman; investor Lerer Hippeau — medium.com/lerer-hippeau-ventures,"Company states subscribing to its first three products eliminates ~2.2 kg of single-use plastic per year per customer (?5 lb), and donates $1 of each first purchase to ocean plastic removal; products cut single-use plastic ~90%+ vs conventional — dezeen.com; byhumankind.com. Self-reported.",High,High,Low,"Founding/launch 2019 firm. Confirm current operating status and product range, as DTC personal-care brands change rapidly. Instagram unverified."
Myro,United States,Status uncertain (reported shutdown),Myro (Myro Deodorant) — mymyro.com; prnewswire.com,Myro — beautyindependent.com,https://www.mymyro.com/,Not found in verified public sources,Small (aggregator lists ~3 employees; sold >$8M of units per founder ~2021) — tracxn.com; kingscrowd.com,"Consumers via DTC subscription and retail (Target, Amazon, Anthropologie, Grove; ~2,300+ stores) — prnewswire.com; republic.com",2017 (founded) / 2018 (launched Sept 2018) — prnewswire.com; tracxn.com; beautyindependent.com,"Private, venture-backed (Obvious Ventures, Lakehouse Ventures, Serena Ventures, ERA, Eric Ryan). STATUS UNCERTAIN: at least one secondary source reports Myro shut down (~2022); requires verification — beautyindependent.com; prnewswire.com; necolebitchie.com",Refillable plant-powered deodorant (reusable case + recyclable refill pods using ~50% less plastic) on subscription; planned body wash/mist — packworld.com; republic.com,United States (HQ New York City) — tracxn.com; prnewswire.com,Personal care / bodycare (deodorant; refill) — mymyro.com,"Founder/CEO Greg Laptevsky; investors Obvious Ventures, Serena Ventures; retail Target/Amazon — prnewswire.com; republic.com",Company stated >1 million units sold and ~30 metric tonnes of plastic waste saved since 2018 launch; refill pods use ~50% less plastic; 'plastic-neutral' via PCX offsets — packworld.com. Self-reported.,High,Medium,Low,PRIORITY FLAG: operating status uncertain — a secondary/low-quality source (necolebitchie.com) reports a shutdown around 2022; this is NOT corroborated by a primary source in this pass. Manually verify whether mymyro.com is still trading and check filings. Founding (2017) vs launch (2018) should be distinguished. Instagram unverified.
