Entered by,CASE STUDY,Organisation,INITIAL CONTACT,Focus Area,Category,Country,Contact Information,Website,Website Active?,Instagram,Instagram Active 2025/26?,Year Established,Trading Status,Ownership,Core model,Company Size data,Customers,Geographic scope,Categories,Partners,Partner Category,Data (Plastic saved),Data (Co2 Reduction),Key Facts,Anything else,Comments
Giulia ,1,MIWA,"01/07, Jishnu",Refillable Products,Consumer goods ,Czechia,miwa@miwa.eu,https://www.miwa.eu/,Yes,miwa_eu,Yes,2017,Active,Private,Smart NFC refill dispenser system (B2B & B2C),11-50 employees,"Retail, hospitality, offices","Czech Republic, EU",,,,,,,,"Offers smart reusable and a refill packaging system with NFC cups and B2B dispensers, for food, pet food, home or personal care. In shops, offices and hospitality. "
Selina,1,Seventh Generation,"02/07, Jishnu",Sustainable Products,Household Products,United States,https://www.seventhgeneration.com/contact-us,https://www.seventhgeneration.com/,Yes,seventhgen,Yes,1988,Active,"Subsidiary (Unilever, acquired 2016)",B2C sustainable household products,201-500 employees,US retail and direct consumers,United States,,,,,,,,Offers environmentally friendly household products
Krita,1,Siklus,low priority,Refill and Reuse supply chain ,Cleaning and Laundry products,Indonesia,https://www.siklus.com/about-us,https://www.siklus.com/,Yes,siklus.id,Yes,2021,Active,Private,B2C/B2B reusable sachet-alternative packaging (return & swap),,,Indonesia,,,,,,,,"Provides an alternative to sachets for household products, being resuable packaging that you can return after using it. ""Siklus"" means ""Cycle"" in Indonesian (bahasa indonesia)."
Jishnu,1,SodaStream,"25/06, Jishnu",Reusable solutions,Consumer Goods,Israel,https://www.facebook.com/Sodastreamuk/,https://sodastream.co.uk/,Yes,sodastream,Yes,1903,Active,"Subsidiary (PepsiCo, acquired 2018 for $3.2bn)",B2C home carbonation + CO2 cylinder exchange,501-1000 employees,Direct-to-consumer,Global (60+ countries),,,,,,Acquired by PepsiCo for $3.2bn in 2018.,,Provides reusable carbonating bottles and refills for CO2 cylinders reducing single-use plastic soda bottles.
Selina,1,Splosh,"03/07, Jishnu",Eco-Friendly Cleaning,Household Cleaning Products,United Kingdom,hello@splosh.com,https://splosh.com/,Yes,"sploshofficial_x000D_
",Yes,2009,Active,Private limited company, Online refill / B2C refill ,Not publicly available ,Direct-to-Consumer home subscription base,United Kingdom and Ireland.,"Laundry liquids, fabric conditioners, dishwashing gels, hand soaps, and surface cleaners.",Not publicly available,"Direct-to-Consumer Eco-Brand, logistics and retail partners",Not publicly available ,Not publicly available ,About Page,European Cicular Economy Stakeholder Overview,"Splosh offers a range of home cleaning products that focus on reducing plastic waste. They provide refillable cleaning products and encourage returning used pouches for reuse or upcycling, promoting zero waste"
Jishnu,1,The Body Shop,8/7 Krita,Refillable Products,Consumer Goods,United Kingdom,https://support-gb.thebodyshop.com/hc/en-gb/requests/new,https://www.thebodyshop.com/,Yes,thebodyshop,Yes,1976,Active,Private limited company,B2C Refill/Zero Waste,Global multinational retail footprint spanning thousands of brick-and-mortar storefronts.,Retail cosmetics consumers ,"Global market reach, headquartered in Littlehampton, UK","Skincare, body care cosmetics, haircare, bath items, and fragrance lines","Global corporate flagships and international master-franchisee networks,Community Fair Trade suppliers consisting of agricultural cooperatives and female artisan grower groups globally",Global Ethical Retail Chain,"Diverted over 2,424.13 metric tons of plastic from global oceans and vulnerable environments via fair trade sorting channels",Not publicly available ,Sustainability commitments,Refill scheme,"A globally recognised ethical beauty brand offering in-store refill stations for shower gels, shampoos, conditioners, and hand washes to reduce single-use plastic."
Prathmesh,1,The Refill Shoppe,"27/06, Jishnu",Eco-Friendly Household Products,Consumer Goods,United States,hi@therefillshoppe.com,https://www.therefillshoppe.com/,Yes,therefillshoppe,Yes,,Active,Private,B2C refill personal care products,,,United States,,,,,,,,Offers personal hygiene products with a focus on refill and reducing single-use plastics​
Kaat,1,Vytal,not suitable currently,Reusable Packaging,Packaging solutions ,Germany,hello@vytal.org,https://www.vytal.org,Yes,vytal.global,Yes,2019,Active,Private,B2B app-managed deposit-return food containers,51-200 employees,"Restaurants, canteens, corporate food service","Germany, Europe",,,,,,App-managed QR return system. Partnership with major German delivery platforms.,,Reusable food and drink containers
Jishnu,1,Wild,"25/06, Jishnu",Refillable Products,Consumer Goods,United Kingdom,https://wearewild.com/pages/contact-us,https://wearewild.com/,Yes,wearewild,Yes,2020,Active,Private limited company,"B2C Refill ,Subscription Refill , Retail Distribution",£25M+ ARR (2022),Direct-to-consumer,Major UK & European retailers,"Refillable deodorant,Body wash,Lip balm,Hand wash","Retail distribution partners (UK supermarkets & high street stores) , Tree planting charity: OnAMission ","Retail distribution,Environmental offset partner",Not publicly available ,Not publicly available ,"UK’s No.1 refillable natural deodorant (site claim), Which? Best Buy Winner, Plastic-free compostable refills",N/A,"Offers refillable deodorants and body washes in compostable/reusable cases through subscription, with low-waste delivery packaging."
Giulia ,,900.care,"04/07, Jishnu", Refillable Hygiene Products ,Consumer goods ,France,tellmemore@900.care.com ,https://900.care/,Yes,900care,Yes,2021,Active,Private,B2C refillable hygiene product tablets,11-50 employees,,France,,,,,Environmental offset partner,,,Offers refillable hygiene products like toothpaste tablets and soild shower gels to reduce single-use plastics 
Jishnu,,A Bit Less Bulk Store,low priority,Zero Waste,Consumer Goods,Malaysia,abitless18@gmail.com,https://www.facebook.com/abitlessbulkstore/,No,abitlessbulkstore,Yes,,Active,Private,Package-free zero-waste bulk food and refillables (online + offline),,,Malaysia,,,,,,,,"Packageless zero-waste bulk food and refillables shop with lip balms, detergents, teas, shipped online."
Prathmesh,,A New Earth Store,low priority,Eco-Friendly Household Products,Consumer Goods,Lebanon,orders@anewearth.com,https://www.anewearth.net/,Yes,,,,Active,Private,Eco-friendly store — plastic waste reduction,,,Lebanon,,,,,,,,"One of the extremely few eco-friendly stores in Lebanon, specializing in attempts to reduce plastic waste"
Prathmesh,,A Public,"26/06, Jishnu",Reusable Packaging,Consumer Goods,United States,https://apublicshop.com/pages/connect,https://apublicshop.com/,Yes,,,,Active,Private,Curated reusable and refillable essentials,,,United States,,,,,,,,Provides thoughtfully curated reusable and refillable essentials aiming to reduce single-use plastic
Jishnu,,ABC Swappa Crate (Glass Packaging Forum initiative),low priority,Refill and Reuse supply chain ,Business Service Provider,New Zealand, info@glassforum.org.nz,https://www.glassforum.org.nz/glass-heroes-the-humble-swappa-crate-nzs-original-refill-scheme/,Yes,,,,Active,Non-profit (Glass Packaging Forum),Nationwide reusable glass beer bottle crate system,,,New Zealand,,,,,,,,Nationwide reusable glass beer bottle crate system preventing millions of glass bottles annually through returnable reuse cycles.
Kaat,,Acala,"27/06, Jishnu",Zero Waste shop,Consumer Goods,United Kingdom,hello@acalaonline.com,https://acalaonline.com,Yes,acalaonline,Yes,2018,Active,Private,"B2C refill,Zero-waste retail,DIY beauty marketplace",1 - 10 employees,"Direct-to-consumer,Independent eco retailers",UK-based (London HQ) ,"DIY beauty,Zero-waste skincare,Refillable tools","Independent beauty brands,Plastic-free suppliers",Retail distribution,Not publicly available ,Not publicly available ,Focus on low-waste & DIY skincare,About Us,Sells cosmetics and personal care products in Reusable Packaging and offers refills
Krita,,Adrish,45845,Zero Waste,Consumer Goods ,India,http://adrish.co.in/contact-us,https://www.adrish.co.in/shop/category/zero-waste-essentials/5,Yes,,,,Active,Private,Plastic-free shipping + bulk zero-waste essentials,,,India,,,,,,,,Plastic free shipping across India and selling bulk non plastic alternatives for zero waste. 
Giulia ,,Aer,"01/07, Jishnu",Refilable cleaning products ,Consumer Goods ,Austria,Contact – aer,https://theaer.com/en/pages/about-us,Yes,,,,Active,Private,Powder-in-paper sachets mixed in reusable bottles (zero plastic),,,Austria,,,,,,,,Offers powder-in-paper sachets mixed in reusable bottles; zero plastic. 
Jishnu,,Aesop,not suitable currently,Refillable Products,Consumer Goods ,Australia,https://www.aesop.com.au/customer-service/contact-us.html,https://www.aesop.com.au/,Yes,aesopskincare,Yes,1987,Active,"Subsidiary (L'Oréal, acquired 2023 for $2.5bn)",Premium skincare + in-store refill at flagship stores,"1,000+ employees",,Australia and global,,,,,,Acquired by L'Oréal for $2.5bn in 2023.,,"Enables customers to bring their own glass bottles and refill premium skincare products at their South Yarra store, promoting closed-loop reuse."
Prathmesh,,AG Care,"26/06, Jishnu",Eco-Friendly Household Products,Consumer Goods,Canada,customersupport@ag.care,https://ag.care/,Yes,,,,Active,Private,Salon-grade haircare + aluminium/PCR packaging + refill pouches,,,Canada,,,,,,,,Salon-grade hair care with sustainable aluminum/PCR packaging shifts and refill pouch options
Jishnu,,Again Again,7/7 Krita,Reusable Products ,Shared-use Rental Services,New Zealand,hello@againagain.co,https://www.againagain.co/,Yes,,,,Active,Private,B2B reusable container share system for cafes,,,New Zealand,,,,,,,,Reusable take-away container share system enabling cafes to swap and refill food and drinks containers efficiently.
Jishnu,,Air Closet,low priority,Reusable Products ,Shared-use Rental Services,Japan,https://corp.air-closet.com/en/contact/,https://corp.air-closet.com/en/,Yes,aircloset_jp,Yes,2014,Active,Public listed (Tokyo Prime: 9557),Clothing rental subscription service,,,Japan,,,,,,,,Clothing rental subscription service helps reduce fashion waste using reuse and shared wardrobe systems.
Jishnu,,Akomeya,low priority,Zero Waste,Consumer Goods,Japan,https://www.akomeya.jp/shop/contact/contact.aspx,https://www.akomeya.jp/shop/pages/about_en.aspx,,,,,,,,,,,,,,,,,,Rice specialist offering scoop refill rice by weight in flagship stores to promote bulk purchasing and Reusable Packaging.
Kaat,,Albo drinks,not suitable currently,Reusable Packaging,Consumer Goods,Belgium,drivein@albodrinks.be,https://albodrinks.be,Yes,,,,Active,Private,Glass bottle deposit-return beverage system,,,Belgium,,,,,,,,"Offers a wide assortment of drinks in glass bottles, when returning those, customer receives money "
Jishnu,,Alchemy,not suitable currently,Zero Waste,Consumer Services,Ireland,https://www.wearealchemy.com/contact/,https://www.wearealchemy.com/,Yes,,,,Active,Private,Tech-powered electronics refurbishment (5M+ devices),,,Ireland,,,,,,,,"Tech‑powered refurbisher of over 5 million smartphones and laptops, enabling reuse of electronics."
Jishnu,,aleph,not suitable currently,Refillable Products,Consumer Goods,New Zealand,https://alephbeauty.com/pages/contact-us,https://alephbeauty.com/,Yes,,,,Active,Private,In-store cosmetic refill stations + empty container return,,,New Zealand,,,,,,,,Beauty brand offering in‑store cosmetic refill stations and empty container return schemes enabling packaging reuse.
Mehak,,Algramo,low priority,Refillable packaging,Household goods like cleaners and detergents,Chile,https://algramo.com/en/contact/,https://algramo.com/,Yes,algramo_world,Yes,2013,Active,Private (B-Corp certified),B2B smart RFID refill stations for household products,51-200 employees,"Low-income households, retail chains","Chile, New York (US)",,,,,,Founded by José Manuel Moller. RFID-tagged reusable containers.,,"Offers smart refill stations for brands like Clorox, Omo, and Quix. RFID-tagged reusable containers."
Kaat,,Algramo,low priority,Refill Stations,Packaging Solutions,Chile,contacto@algramo.com,https://algramo.com/en/,Yes,algramo_world,Yes,2013,Active,Private (B-Corp certified),B2B smart RFID refill stations for household products,51-200 employees,"Low-income households, retail chains","Chile, New York (US)",,,,,,Founded by José Manuel Moller. RFID-tagged reusable containers.,,Installs refill stations for everyday goods such as cleaning products
Prathmesh,,Alima Pure,"01/07, Jishnu",Refill and Reuse supply chain ,Cosmetics,Canada,customercare@alimapure.com,https://www.alimapure.com/,,,,,,,,,,,,,,,,,,"Minimalist, refillable cosmetics packaging with magnetic pans"
Jishnu,,Allas,low priority,Reusable Packaging,Business Service Provider,Indonesia,https://www.instagram.com/allas.id,https://www.linkedin.com/company/allas-returnable/,,,,,,,,,,,,,,,,,,"Operates returnable food and beverage containers with collection and washing service for cafes, events and food delivery platforms."
Jishnu,,Almang Market,low priority,Refill Stations,Consumer Goods,South Korea,zero@almang.net   ,https://almang.net/,,,,,,,,,,,,,,,,,,"A zero-waste grocery store where customers refill shampoo, lotion, cooking oil, and dry foods using their own reusable containers."
Giulia ,,AlmaWin,"01/07, Jishnu",Refillable Products ,Consumer goods ,United Kingdom,info@almawin.de ,https://almawin.de/en/zero-waste,Yes,almawin.de,Yes,1993,Active,Family Owned,"B2C retail,Zero-waste refill (via partner stores)","Mid-sized German manufacturer,Established production facility ","Zero-waste shops,Retail distributors,European grocery chains","Germany,EU markets","Laundry detergents,Cleaning products,Dishwashing liquids","Zero Waste shops, Dermatological testing,FSC packaging","Retail distribution,Certification,Packaging suppliers",Not publicly available ,Not publicly available ,N/A,Company news,Manufacturer of eco-detergents; supports zero‑waste shops with refill stations
Krita,,Alner,low priority,Reusable Packagaing,Consumer goods ,Indonesia,https://zerowastelivinglab.enviu.org/contact/,https://zerowastelivinglab.enviu.org/our-ventures/koinpack/,Yes,,,,Active,Private (Enviu venture),FMCG reusable packaging + cashback returns via Alner app,,,Indonesia,,,,,,,,"Provides Reusable Packaging for FMCGs in Indonesia, and customers can return/swap the packaging to be scanned by the Alner App for tracking, with a cashback incentive for  their returning habit."
Prathmesh ,,Alterpacks,low priority,Eco-friendly product ,Consumer Goods,Singapore,info@alterpacks.com,https://alterpacks.com/,Yes,,,,Active,Private startup,Food waste transformed into sustainable packaging materials,,,Singapore,,,,,,,,"Tech startup transforming food waste into sustainable packaging materials, offering biodegradable alternatives"
Kaat,,Alya Packaging,"04/07, Jishnu",Reusable Packaging,Packaging Solutions,Turkey,https://alyapackaging.com/contact/,https://alyapackaging.com,Yes,,,,Active,Private,B2B reusable organic material shopping bags for retailers,,,Turkey,,,,,,,,Sells reusable shopping bags from organic materials to retailers
Giulia ,,Ambev,45840,Reusable Packaging,Reusable Packaging,Brazil ,sac@ambev.com.br ,https://www.ambev.com.br/,Yes,ambev,Yes,1999,Active,Public listed (NYSE: ABEV; B3: ABEV3),Refillable beer bottles + can return programs,"30,000+ employees",,Brazil and Latin America,,,,,,,,Offers refillable beer bottles and aluminium can return programs. Partners with TerraCycle Brazil to collect hard-to-recycle packaging
Jishnu,,Amore Pacific (Gwanggyo store),low priority,Refillable Products,Consumer Goods,South Korea,amorepacific@apus.amorepacific.com,https://us.amorepacific.com/,Yes,,,,Active,"Subsidiary (Amorepacific Corporation, KOSPI: 090430)",Cosmetics refill bar (coconut-based refillable containers),,,South Korea,,,,,,,,Cosmetics refill bar dispensing body and hair care products into coconut-based refillable containers.
Jishnu,,Anew,low priority,Reusable Products ,Consumer Goods ,New Zealand,https://www.chooseanew.com/pages/contact,https://www.chooseanew.com/,Yes,,,,Active,Private,Plant-based reusable bottles returned to be remade into new packaging,,,New Zealand,,,,,,,,Plant-based reusable bottle system offers refillable water bottles that return to be remade into new packaging.
Giulia ,,Anniepooh ,"25/06, Jishnu",Reusable Products ,Consumer goods ,Ireland,info@anniepooh.ie ,https://anniepooh.ie/,Yes,,,,Active,Private,B2C reusable and refillable personal and household care,,,Ireland,,,,,,,,Offers reusable and refillable products for houshold products and personal care
Sam,,Araliya,low priority,Reusable Packaging,Business Service Provider,Sri Lanka,info@araliyapackaging.com,https://araliyapackaging.com/,Yes,,,,Active,Private,B2B durable non-woven polypropylene reusable packaging,,,Sri Lanka,,,,,,,,"Manufactures durable non‑woven polypropylene packaging - such as reusable shopping and rice bags, for resuability"
Kaat,,AriaPack,not suitable currently,Reusable Packaging,Packaging Solutions,Turkey,https://ariapack.com.tr/en/Contact/,https://ariapack.com.tr/en/,Yes,,,,Active,Private,B2C reusable lunchboxes,,,Turkey,,,,,,,,Offers reusable lunchboxes 
Krita,,Aromatica,low priority,Refill stations and cosmetics,Packaging Solution ,South Korea,https://en.aromatica.co/contactus,https://en.aromatica.co/index.html ,Yes,aromaticakorea,Yes,2004,Active,Private,B2C Korean beauty + refill pouches + House of Aromatica refill station,,,South Korea and global,,,,,,,,"Korean Beauty Brand with refill pouches and a refill station called ""house of Aromatica"" + empty bottles collection. Promotes subscription to products with recyclable delivery box. Has package control tracking system "
Jishnu,,Aromatica Zero Station,low priority,Refillable Products,Consumer Goods,South Korea,aromaticaglobal@aromatica.co.kr,https://en.aromatica.co/zerostation,Yes,,,,Active,Private,Korea's first refill-ready beauty store (bulk tap-and-refill formats),,,South Korea,,,,,,,,"Operates Korea’s first refill-ready beauty store offering package-free facial, body, and hair care in bulk tap-and-refill formats."
Kaat,,Aroundrs,not suitable currently,Reusable Packaging ,Packaging solutions ,Italy,hello@aroundrs.it,https://www.aroundrs.it,Yes,,,,Active,Private startup,Innovative reusable containers for take-away and delivery,,,Italy,,,,,,,,Start-up that develops innovative reusable containers for take away and delivery
Jishnu,,Artani Eco Bulk Store,low priority,Refill Stations,Consumer Goods,Indonesia,https://www.instagram.com/artani.id,https://www.instagram.com/artani.id,No,artani.id,Yes,,Active,Private,Bulk eco refill store (physical + online),,,Indonesia,,,,,,,,Provides refillable groceries and eco‑products in bulk at physical outlet and online shop for sustainable living.
Kaat,,Artsan Ambalaj,"04/07, Jishnu",Reusable Packaging,Packaging Solutions,Turkey,info@artsanambalaj.com,https://www.artsanambalaj.com/en/solutions/sustainable-solutions,Yes,,,,Active,Private,B2B reusable packaging supplier,,,Turkey,,,,,,,,"Sells reusable packaging to other companies, B2B"
Krita,,ASA Beauty,45845,Refillable Products ,Consumer Goods ,India,https://asabeauty.com/pages/contact-us,https://asabeauty.com/,Yes,,,,Active,Private,Refillable makeup packaging for all shades,,,India,,,,,,,,Refillable bottles/packagging for every  makeup product in every shade
Kaat,,ASD,not suitable currently,Reusable Packaging,Packaging Solutions,Turkey,asd@ambalaj.org.tr,https://ambalaj.org.tr/en/,Yes,,,,Active,Trade association / non-profit,Packaging industry deposit-return and zero waste practices advocacy,,,Turkey,,,,,,,,Packaging manufacturer that makes use of deposit-return system and zero waste practices for reusable packaging
Kaat,,Aterlier Rebul,"04/07, Jishnu",Reusable Packaging,Packaging Solutions,Turkey,customerservice@atelierrebul.be,https://atelierrebul.be/en?srsltid=AfmBOorgjFqwAT7JxrXW-As18ISniHk70ReSQJFrSu_4KuF1915VNdyd,Yes,,,,Active,Private,B2C luxury soaps and scents in refillable packaging — retail chain,,,"Turkey, Belgium, global",,,,,,,,"Big chain that sells products in reusable packaging that can be refilled: soaps, scents, etc"
Prathmesh ,,Avo and Co.,low priority,Organic Goods,Groceries ,Singapore,hello@avoandco.com,https://www.avoandco.com/,Yes,,,,Active,Private,Subscription produce delivery with returnable crates,,,Singapore,,,,,,,,Subscription produce delivery using minimal paper packaging and returnable crates
Giulia ,,AVOID,low priority,Resuable packaging ,Reusable Packaging,Brazil ,info@avoid.net.br ,https://avoid.net.br/,Yes,,,,Active,Private,B2B refill infrastructure and circular design for retailers,,,Brazil,,,,,,,,"Offers refill insfrastructure to retailers, by intergrating Reusable Packaging and circular design."
Krita,,Babel Siem Reap,low priority,Refills and Reusable Packaging,Consumer's goods,Cambodia,,https://www.babelsiemreap.com/responsible-shopping,Yes,,,,Active,Private,Guesthouse refill containers for hair and body products,,,Cambodia,,,,,,,,Babel guesthouse has refill containers for products like hair products and oils. Oppporunity for. bulk buying.
Jishnu,,Babyloop,"02/07, Jishnu",Reusable Products,Consumer Goods ,Portugal,ola@babyloop.pt,https://babyloop.pt/,Yes,,,,Active,Private,Circular second-hand baby products app + drop-off network,,,Portugal,,,,,,,,Enables circular second‑hand trading of durable baby products through app‑managed reuse logistics and drop‑off network.
Jishnu,,BachserMärt,not suitable currently,Zero Waste,Consumer Goods,Switzerland,laden@bachsermaert.ch,https://www.bachsermaert.ch/en/refill/,Yes,,,,Active,Private,"Zero-waste bulk refill store (grains, nuts, muesli in return glass jars)",,,Switzerland,,,,,,,,"Offers bulk refills of grains, nuts, and muesli in reusable glass jars that customers return and re-fill in-store."
Sam,,Back to Basics ,low priority,Zero Waste ,Consumer Goods ,Philippines,https://www.btbecostore.com/contactus,https://www.btbecostore.com/,Yes,,,,Active,Private,Zero-waste bulk refill store,,,Philippines,,,,,,,,Zero Waste store offering bulk refill stations
Jishnu,,Baedal Minjok,low priority,Reusable Products,Consumer Services,South Korea,help@woowahan.com,https://www.baemin.com/,Yes,baeminofficial,Yes,2010,Active,Subsidiary (Woowa Brothers / Delivery Hero),Delivery app providing reusable food containers in Gangnam pilot,,,South Korea,,,,,,,,Delivery app providing reusable food containers to restaurants and customers in Gangnam with pick-up logistics.
Kaat,,Bak Packages,low priority,Reusable Packaging ,Packaging Solutions,Pakistan,info@bakpackaging.com,Home - BAK Packaging (Pvt) Ltd.,Yes,,,,Active,Private,B2B reusable and resealable pouches,,,Pakistan,,,,,,,,Sells various pouch styles which are reusable and resealable
Prathmesh ,,Bamboo Straw Girl,low priority,Eco-friendly product ,Packaging Material,Singapore,bamboostrawgirl@gmail.com,https://bamboostrawgirl.com/,Yes,bamboostrawgirl,Yes,,Active,Private social enterprise,Zero-waste lifestyle goods from local makers,,,Singapore,,,,,,,,Local social enterprise working directly with makers to bring consumers zero-waste lifestyle goods
Prathmesh,,Bare Market ,"01/07, Jishnu",Refill and Reuse supply chain ,Consumer Goods,Canada,baremarketasm@gmail.com,https://baremarket.ca/,Yes,,,,Active,Private,"Bulk food, body care, home goods in upcycled containers (plastic-free)",,,Canada,,,,,,,,"Bulk food, body care, home goods in upcycled containers; plastic-free and locally sourced"
Krita,,Bare Necessities,45845,Refillable Products,Consumer Goods ,India,https://barenecessities.in/pages/contact-us,https://barenecessities.in/,Yes,barenecessitiesindia,Yes,,Active,Private,Pay-by-weight refill store for personal and home care (Delhi + Bangalore),,,India,,,,,,,,"In Delhi and Bangalore, bring your own containers or reuse jars to refill products, pay by weight for personal care and homecare products. "
Krita,,barePack,low priority,Reusable containers,Packaging Solution ,Singapore,https://www.facebook.com/barePack.co/about,https://www.facebook.com/barePack.co ,Yes,,,,Active,Private,Membership-based app for food ordering in reusable containers,,,Singapore,,,,,,,,Membership-based service wherein customers can order their food in reusable containers using an app. 
Sam,,Battmen,not suitable currently,Reusable Products ,Business Service Provider,Netherlands,https://battmen.nl/contact/,https://battmen.nl/,Yes,,,,Active,Private,Reusable battery pack swap service,,,Netherlands,,,,,,,,Dutch battery-swapping service that promotes reuse by providing reusable battery packs and swap stations
Jishnu,,BDARI,low priority,Reusable Products,Consumer Goods,Malaysia,adm.bdari@gmail.com,https://www.bdari.my/,Yes,,,,Active,Private,B2C reusable stainless steel tiffin carriers,,,Malaysia,,,,,,,,A Malaysian seller of reusable stainless steel tiffin carriers.
Jishnu,,Bean Around,"02/07, Jishnu",Zero Waste,Consumer Goods,Ireland,beanaround3@gmail.com,https://www.beanaround.ie/,Yes,,,,Active,Private,Coffee grounds upcycled into exfoliating bars + circular gifting,,,Ireland,,,,,,,,"Converts coffee-grounds into exfoliating bars sourced from local cafés; partners in circular corporate gifting, reducing waste streams."
